genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT,20200221 WT S5,120h,438,0.8701081365293707,0.1512280723644312,0.034173625643281,0.4595942884516815,0.4878988307875719,0.1233361006443976,747.125,743.438,863.5454515835281,0.995065082817467,1.1558245963975615,1.1615567829241014
WT,20200221 WT S5,120h,246,0.6255302366184053,0.3060789697742257,0.0844838077234169,0.5191763080865837,0.3646848069476588,0.0905795084558994,329.563,280.094,331.6171628300251,0.8498951642022922,1.0062329898381346,1.1839495413326424
WT,20200221 WT S5,120h,142,0.6464715033172805,0.18792732740076,0.0458556183460827,0.6713200162162906,0.3858656940646034,0.1035161192811129,745.344,790.25,828.5846787037503,1.0602486905375235,1.1116808865486947,1.0485095586254354
WT,20200221 WT S5,120h,78,0.7560822608243706,0.1824496355321571,0.0503279118160474,0.5050032335590505,0.4105562173410202,0.1130054730213377,1117.28,1160.66,1325.584336775161,1.0388264356293857,1.186438794908314,1.142095305063637
WT,20200221 WT S5,120h,590,0.7939419489472586,0.1687259528382033,0.0473463540913767,0.6071302757442414,0.4267298960054161,0.1150750529186056,789.711,857.438,999.3925326100044,1.0857617533502761,1.2655167936245086,1.1655566147173375
WT,20200221 WT S5,120h,718,0.782598955973139,0.2035659281661052,0.0505174110299861,0.3429431506452747,0.6141087147447865,0.1615182142779588,1034.63,1063.28,1241.6011299799034,1.0276910586393202,1.2000436194387396,1.1677085339514552
WT,20200221 WT S5,120h,46,0.5841127846905186,0.2787424686752778,0.0742270387215664,0.5764798009301948,0.3635722672434966,0.1008909430776016,377.037,384.972,455.8568856204514,1.0210456798669627,1.209050797721315,1.1841299772982228
WT,20200221 WT S5,120h,302,0.8771924351622684,0.0835863881878242,0.0221751940624007,0.4125292395004736,0.6196307372513122,0.1750605850169411,1090.25,1272.5,1363.7456830884234,1.1671634946113276,1.2508559349584256,1.0717058413268554
WT,20200221 WT S5,120h,110,0.6857325719972361,0.2123996253131534,0.0581934328910507,0.544385948043193,0.4851462132667257,0.1272951372342135,154.938,103.781,142.16424882147987,0.6698227678168043,0.9175557243638093,1.3698485158312201
WT,20200221 WT S5,120h,622,0.8448702229653646,0.0876348102553931,0.0239320856773123,0.5535287825822783,0.4285196412276053,0.1108653123576788,100.688,105.563,121.08165432684756,1.0484168917845225,1.2025430471043972,1.1470084624996215
WT,20200221 WT S5,120h,30,0.7537901146797482,0.1779996395031656,0.0501692864500713,0.4992576514244426,0.516452183046693,0.146807699988402,1021.38,1268.09,1371.666960679458,1.241545751825961,1.342954591512912,1.0816795027793438
WT,20200221 WT S5,120h,158,0.5940876098761371,0.2312929438657763,0.0606896835032048,0.3564347689089164,0.6210958115123119,0.1687854476866861,1118.97,1249.31,1466.248413265987,1.1164821219514374,1.3103554279971643,1.1736465835268965
WT,20200221 WT S5,120h,606,0.555012567945745,0.2781460976964434,0.0674965308215916,0.4771056575516771,0.441889058083268,0.120744853807548,184.781,181.594,209.48442230497807,0.9827525557281321,1.1336902728363742,1.1535866950724036
WT,20200221 WT S5,120h,350,0.7510925268786762,0.2120949338203634,0.0594924847960273,0.4522192389565259,0.4895682802967996,0.1350594489298368,931.711,967.312,1103.882938853665,1.038210346341301,1.1847911410873813,1.1411860277280392
WT,20200221 WT S5,120h,222,0.8022062468725043,0.1017456309900608,0.0269742939911523,0.6517574573559008,0.3671881844912666,0.0994379780485106,100.07,101.344,112.32381308325978,1.0127310882382332,1.122452414142698,1.108342014162257
WT,20200221 WT S5,120h,62,0.6756351546047032,0.1838233904355093,0.04575246661211,0.7106480126164563,0.223075115467766,0.0626447180821902,116.586,107.594,112.34800729507998,0.922872386049783,0.9636492142716963,1.0441846877621428
WT,20200221 WT S5,120h,574,0.5841746326492175,0.3370018908196058,0.0942187360442301,0.4881474442103243,0.469178126986491,0.1328904677772965,871.313,777.812,992.056084835546,0.8926895386617668,1.1385760166961196,1.2754445609421634
WT,20200221 WT S5,120h,318,0.6267801260260385,0.2371391005106626,0.0625894247619638,0.3204333686492587,0.6446447659149216,0.1636223156585496,387.688,361.813,441.0840906228656,0.9332581869957285,1.1377295418554756,1.2190940917625004
WT,20200221 WT S5,120h,190,0.4893172582779689,0.3467346369690006,0.0828356067121919,0.4122138395782433,0.5222710724326445,0.1426921381407719,349.625,265.313,329.02910372872907,0.7588501966392563,0.9410914657954353,1.2401544731269447
WT,20200221 WT S5,120h,254,0.6571711371565475,0.2046371197330957,0.0510159557303693,0.6368569969725278,0.281175660511069,0.076648289441723,124.063,81.9375,89.77723412880015,0.6604507387375769,0.7236422956788096,1.095679440168423
WT,20200221 WT S5,120h,513,0.6861113925306507,0.2357265313920178,0.0659586105760486,0.5460444381463934,0.4393989225810434,0.1215872164002591,649.31,565.59,643.3135086575218,0.8710631285518474,0.9907648252106418,1.137420231364631
WT,20200221 WT S5,120h,257,0.7048606210922075,0.2079253052097772,0.0588808931676822,0.510253150208444,0.5148165643650588,0.1456502226818054,506.469,514.188,680.9544222111709,1.015240814344017,1.3445135283920062,1.3243296658248946
WT,20200221 WT S5,120h,129,0.65140637485221,0.1871111629689289,0.0464253198964502,0.3799889944509083,0.5645818730960424,0.1501934965662571,763.625,820.688,983.4181620758258,1.074726469143886,1.2878286620734336,1.1982850511714875
WT,20200221 WT S5,120h,641,0.8023016727781466,0.1548426982010198,0.0437001646636334,0.4303166069925239,0.4452918337451292,0.1192533950275575,960.625,1054.91,1144.707052768858,1.098149642160052,1.191627380891459,1.0851229515018892
